"genero","especie","nombre_comun","categoria"
"Tapera","naevia","Striped-Cuckoo","LC"
"Dromococcyx","pavoninus","Pavonine-Cuckoo","LC"
"Dromococcyx","phasianellus","Pheasant-Cuckoo","LC"
"Tyto","alba","Barn-Owl","LC"
"Megascops","choliba","Tropical-Screech-owl","LC"
"Bubo","virginianus","Great-Horned-Owl","LC"
"Pulsatrix","koeniswaldiana","Tawny-browed-Owl","LC"
"Pulsatrix","perspicillata","Spectacled-Owl","LC"
"Glaucidium","brasilianum","Ferruginous-Pygmy-owl","LC"
"Athene","cunicularia","Burrowing-Owl","LC"
"Strix","huhula","Black-banded-Owl","LC"
"Strix","virgata","Mottled-Owl","LC"
"Strix","hylophila","Rusty-barred-Owl","NT"
"Pseudoscops","clamator","Striped-Owl","LC"
"Asio","flammeus","Short-eared-Owl","LC"
"Asio","stygius","Stygian-Owl","LC"
"Nyctibius","aethereus","Long-tailed-Potoo","LC"
"Nyctibius","griseus","Grey-Potoo","LC"
"Lurocalis","semitorquatus","Short-tailed-Nighthawk","LC"
"Chordeiles","minor","Common-Nighthawk","LC"
"Chordeiles","nacunda","Nacunda-Nighthawk","LC"
"Nyctidromus","albicollis","Common-Pauraque","LC"
"Nyctiphrynus","ocellatus","Ocellated-Poorwill","LC"
"Caprimulgus","longirostris","Band-winged-Nightjar","LC"
"Caprimulgus","rufus","Rufous-Nightjar","LC"
"Caprimulgus","sericocaudatus","Silky-tailed-Nightjar","LC"
"Hydropsalis","torquata","Scissor-tailed-Nightjar","LC"
"Uropsalis","lyra","Lyre-tailed-Nightjar","LC"
"Cypseloides","fumigatus","Sooty-Swift","LC"
"Cypseloides","senex","Great-Dusky-Swift","LC"
"Streptoprocne","zonaris","White-collared-Swift","LC"
"Chaetura","cinereiventris","Grey-rumped-Swift","LC"
"Aeronautes","andecolus","Andean-Swift","LC"
"Aeronautes","montivagus","White-tipped-Swift","LC"
"Phaethornis","eurynome","Scale-throated-Hermit","LC"
"Phaethornis","pretrei","Planalto-Hermit","LC"
"Colibri","coruscans","Sparkling-Violet-ear","LC"
"Colibri","serrirostris","White-vented-Violet-ear","LC"
"Anthracothorax","nigricollis","Black-throated-Mango","LC"
"Stephanoxis","lalandi","Plovercrest","LC"
"Chlorostilbon","lucidus","Glittering-bellied-Emerald","LC"
"Thalurania","furcata","Fork-tailed-Woodnymph","LC"
"Thalurania","glaucopis","Violet-capped-Woodnymph","LC"
"Hylocharis","chrysura","Gilded-Hummingbird","LC"
"Hylocharis","sapphirina","Rufous-throated-Sapphire","LC"
"Leucochloris","albicollis","White-throated-Hummingbird","LC"
"Polytmus","guainumbi","White-tailed-Goldenthroat","LC"
"Amazilia","chionogaster","White-bellied-Hummingbird","LC"
"Amazilia","versicolor","Versicoloured-Emerald","LC"
"Adelomyia","melanogenys","Speckled-Hummingbird","LC"
"Oreotrochilus","estella","Andean-Hillstar","LC"
"Oreotrochilus","leucopleurus","White-sided-Hillstar","LC"
"Patagona","gigas","Giant-Hummingbird","LC"
"Sephanoides","sephaniodes","Green-backed-Firecrown","LC"
"Eriocnemis","glaucopoides","Blue-capped-Puffleg","LC"
"Sappho","sparganura","Red-tailed-Comet","LC"
"Heliomaster","furcifer","Blue-tufted-Starthroat","LC"
"Microstilbon","burmeisteri","Slender-tailed-Woodstar","LC"
"Calliphlox","amethystina","Amethyst-Woodstar","LC"
"Trogon","curucui","Blue-crowned-Trogon","LC"
"Trogon","rufus","Black-throated-Trogon","LC"
"Trogon","surrucura","Surucua-Trogon","LC"
"Megaceryle","torquata","Ringed-Kingfisher","LC"
"Chloroceryle","aenea","American-Pygmy-Kingfisher","LC"
"Chloroceryle","amazona","Amazon-Kingfisher","LC"
"Chloroceryle","americana","Green-Kingfisher","LC"
"Baryphthengus","ruficapillus","Rufous-capped-Motmot","LC"
"Galbula","ruficauda","Rufous-tailed-Jacamar","LC"
"Nystalus","chacuru","White-eared-Puffbird","LC"
"Nystalus","maculatus","Spot-backed-Puffbird","LC"
"Pteroglossus","castanotis","Chestnut-eared-Aracari","LC"
"Selenidera","maculirostris","Spot-billed-Toucanet","LC"
"Ramphastos","dicolorus","Red-breasted-Toucan","LC"
"Ramphastos","toco","Toco-Toucan","LC"
"Picumnus","cirratus","White-barred-Piculet","LC"
"Picumnus","temminckii","Ochre-collared-Piculet","LC"
"Melanerpes","cactorum","White-fronted-Woodpecker","LC"
"Melanerpes","candidus","White-Woodpecker","LC"
"Melanerpes","flavifrons","Yellow-fronted-Woodpecker","LC"
"Veniliornis","lignarius","Striped-Woodpecker","LC"
"Veniliornis","mixtus","Checkered-Woodpecker","LC"
"Veniliornis","frontalis","Dot-fronted-Woodpecker","LC"
"Picoides","fumigatus","Smoky-brown-Woodpecker","LC"
"Veniliornis","passerinus","Little-Woodpecker","LC"
"Veniliornis","spilogaster","White-spotted-Woodpecker","LC"
"Piculus","chrysochloros","Golden-green-Woodpecker","LC"
"Colaptes","rubiginosus","Golden-olive-Woodpecker","LC"
"Colaptes","campestris","Campo-Flicker","LC"
"Colaptes","melanochloros","Green-barred-Woodpecker","LC"
"Colaptes","pitius","Chilean-Flicker","LC"
"Colaptes","rupicola","Andean-Flicker","LC"
"Celeus","flavescens","Blond-crested-Woodpecker","LC"
"Celeus","lugubris","Pale-crested-Woodpecker","LC"
"Dryocopus","lineatus","Lineated-Woodpecker","LC"
"Campephilus","leucopogon","Cream-backed-Woodpecker","LC"
"Campephilus","melanoleucos","Crimson-crested-Woodpecker","LC"
"Campephilus","robustus","Robust-Woodpecker","LC"
"Sittasomus","griseicapillus","Olivaceous-Woodcreeper","LC"
"Drymornis","bridgesii","Scimitar-billed-Woodcreeper","LC"
"Xiphocolaptes","albicollis","White-throated-Woodcreeper","LC"
"Xiphocolaptes","major","Great-Rufous-Woodcreeper","LC"
"Dendrocolaptes","picumnus","Black-banded-Woodcreeper","LC"
